NUTS212CD,NUTS212NM,OBJECTID
UKC1,Tees Valley and Durham,0
UKC2,Northumberland and Tyne and Wear,1
UKD1,Cumbria,2
UKD3,Greater Manchester,3
UKD4,Lancashire,4
UKD6,Cheshire,5
UKD7,Merseyside,6
UKE1,East Yorkshire and Northern Lincolnshire,7
UKE2,North Yorkshire,8
UKE3,South Yorkshire,9
UKE4,West Yorkshire,10
UKF1,Derbyshire and Nottinghamshire,11
UKF2,"Leicestershire, Rutland and Northamptonshire",12
UKF3,Lincolnshire,13
UKG1,"Herefordshire, Worcestershire and Warwickshire",14
UKG2,Shropshire and Staffordshire,15
UKG3,West Midlands,16
UKH1,East Anglia,17
UKH2,Bedfordshire and Hertfordshire,18
UKH3,Essex,19
UKI1,Inner London,20
UKI2,Outer London,21
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",22
UKJ2,"Surrey, East and West Sussex",23
UKJ3,Hampshire and Isle of Wight,24
UKJ4,Kent,25
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",26
UKK2,Dorset and Somerset,27
UKK3,Cornwall and Isles of Scilly,28
UKK4,Devon,29
UKL1,West Wales and The Valleys,30
UKL2,East Wales,31
UKM2,Eastern Scotland,32
UKM3,South Western Scotland,33
UKM5,North Eastern Scotland,34
UKM6,Highlands and Islands,35
UKN0,Northern Ireland,36
