objectid,nuts215cd,nuts215nm,st_areashape,st_lengthshape
1,UKC1,Tees Valley and Durham,3046791351.62649,410692.720074331
2,UKC2,Northumberland and Tyne and Wear,5629506492.7907,609437.363734102
3,UKD1,Cumbria,7182484282.39346,580122.215694992
4,UKD3,Greater Manchester,1275981142.30125,248705.612214305
5,UKD4,Lancashire,3263167148.69499,404532.000092826
6,UKD6,Cheshire,2289949319.27603,367240.230208135
7,UKD7,Merseyside,907891875.49125,295413.040652894
8,UKE1,East Yorkshire and Northern Lincolnshire,3655531629.945,535916.111470461
9,UKE2,North Yorkshire,8325230050.5325,731641.633772455
10,UKE3,South Yorkshire,1552110806.31261,250960.280985322
11,UKE4,West Yorkshire,2029240895.8925,281896.382023447
12,UKF1,Derbyshire and Nottinghamshire,4790302046.15988,558363.023243022
13,UKF2,"Leicestershire, Rutland and Northamptonshire",4917868089.17252,513347.751885121
14,UKF3,Lincolnshire,6102772582.84749,558206.575792876
15,UKG1,"Herefordshire, Worcestershire and Warwickshire",5897751570.37103,810042.611802848
16,UKG2,Shropshire and Staffordshire,6204348961.42883,707698.330198929
17,UKG3,West Midlands,901639645.5425,256429.648467344
18,UKH1,East Anglia,12760079339.1325,673882.07676308
19,UKH2,Bedfordshire and Hertfordshire,2878491016.9525,375041.334597527
20,UKH3,Essex,3947337989.50002,587112.553418138
21,UKI3,Inner London - West,111726750.4475,72304.195828298
22,UKI4,Inner London - East,216136944.4025,119049.68468544
23,UKI5,Outer London - East and North East,444435360.575,170276.25248665
24,UKI6,Outer London - South,355362193.899185,147196.641107312
25,UKI7,Outer London - West and North West,467035766.0275,135755.730267736
26,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",5743410003.71999,583810.848431443
27,UKJ2,"Surrey, East and West Sussex",5504234800.01897,517161.614509439
28,UKJ3,Hampshire and Isle of Wight,4249287327.25999,574435.037966428
29,UKJ4,Kent,3908286474.87833,381199.284331352
30,UKK1,"Gloucestershire, Wiltshire and Bath/Bristol area",7703870045.12635,720164.57231658
31,UKK2,Dorset and Somerset,6208761344.12,655612.774218087
32,UKK3,Cornwall and Isles of Scilly,3636225329.77236,962186.593365814
33,UKK4,Devon,6840012003.56742,743967.051733514
34,UKL1,West Wales and The Valleys,13442824900.2448,1884828.99683969
35,UKL2,East Wales,7781657597.70432,1229080.04637972
