"","ccode","allclean","all","cleansh","cleanshw"
"1","AB",0,2,0,0
"2","AD",2,72,2.77777777777778,2.77777777777778
"3","AE",79,797,9.91217063989962,9.76621417797889
"4","AF",1,3,33.3333333333333,9.76621417797889
"5","AG",2,14,14.2857142857143,9.76621417797889
"6","AI",1,11,9.09090909090909,9.09090909090909
"7","AL",1,18,5.55555555555556,5.55555555555556
"8","AM",24,193,12.4352331606218,9.76621417797889
"9","AN",14,75,18.6666666666667,9.76621417797889
"10","AO",0,8,0,0
"11","AP",0,2,0,0
"12","AR",197,5282,3.72964786065884,3.72964786065884
"13","AT",2735,31849,8.58739677854878,8.58739677854878
"14","AU",1951,28628,6.81500628755065,6.81500628755065
"15","AW",1,5,20,9.76621417797889
"16","AZ",15,323,4.64396284829721,4.64396284829721
"17","BA",24,117,20.5128205128205,9.76621417797889
"18","BB",2,82,2.4390243902439,2.4390243902439
"19","BC",0,2,0,0
"20","BD",14,162,8.64197530864197,8.64197530864197
"21","BE",1579,21362,7.39162999719127,7.39162999719127
"22","BF",1,6,16.6666666666667,9.76621417797889
"23","BG",204,2780,7.33812949640288,7.33812949640288
"24","BH",6,39,15.3846153846154,9.76621417797889
"25","BI",2,9,22.2222222222222,9.76621417797889
"26","BJ",3,14,21.4285714285714,9.76621417797889
"27","BM",5,84,5.95238095238095,5.95238095238095
"28","BN",6,63,9.52380952380952,9.52380952380952
"29","BO",2,35,5.71428571428571,5.71428571428571
"30","BQ",0,3,0,0
"31","BR",1092,18958,5.76010127650596,5.76010127650596
"32","BS",6,96,6.25,6.25
"33","BT",0,3,0,0
"34","BU",0,1,0,0
"35","BW",0,3,0,0
"36","BY",85,2134,3.98313027179007,3.98313027179007
"37","BZ",0,34,0,0
"38","CA",5848,91914,6.36246926474748,6.36246926474748
"39","CD",3,6,50,9.76621417797889
"40","CF",1,3,33.3333333333333,9.76621417797889
"41","CG",0,6,0,0
"42","CH",2642,46457,5.6869793572551,5.6869793572551
"43","CI",0,19,0,0
"44","CL",259,2182,11.8698441796517,9.76621417797889
"45","CM",2,42,4.76190476190476,4.76190476190476
"46","CN",61540,1254861,4.90412882382989,4.90412882382989
"47","CO",111,2515,4.41351888667992,4.41351888667992
"48","CR",16,441,3.6281179138322,3.6281179138322
"49","CS",2,22,9.09090909090909,9.09090909090909
"50","CT",1,2,50,9.76621417797889
"51","CU",19,373,5.09383378016086,5.09383378016086
"52","CV",1,2,50,9.76621417797889
"53","CW",0,2,0,0
"54","CY",20,239,8.36820083682008,8.36820083682008
"55","CZ",1225,21031,5.82473491512529,5.82473491512529
"56","DD",38,327,11.6207951070336,9.76621417797889
"57","DE",45077,511445,8.81365542726979,8.81365542726979
"58","DJ",0,4,0,0
"59","DK",2913,20532,14.187609585038,9.76621417797889
"60","DM",3,4,75,9.76621417797889
"61","DO",6,213,2.8169014084507,2.8169014084507
"62","DZ",12,100,12,9.76621417797889
"63","EA",1,5,20,9.76621417797889
"64","EC",15,556,2.69784172661871,2.69784172661871
"65","EE",84,1452,5.78512396694215,5.78512396694215
"66","EG",86,1043,8.24544582933845,8.24544582933845
"67","EH",0,1,0,0
"68","EP",0,11,0,0
"69","ER",0,1,0,0
"70","ES",4315,56730,7.606204829896,7.606204829896
"71","ET",0,12,0,0
"72","FI",2041,33278,6.13318108059379,6.13318108059379
"73","FJ",0,7,0,0
"74","FL",1,8,12.5,9.76621417797889
"75","FM",0,1,0,0
"76","FO",7,18,38.8888888888889,9.76621417797889
"77","FR",15022,160531,9.35769415253129,9.35769415253129
"78","FX",0,1,0,0
"79","GA",0,14,0,0
"80","GB",9212,124490,7.39979114788336,7.39979114788336
"81","GC",0,1,0,0
"82","GD",1,4,25,9.76621417797889
"83","GE",65,1134,5.73192239858906,5.73192239858906
"84","GF",0,2,0,0
"85","GG",0,1,0,0
"86","GH",3,28,10.7142857142857,9.76621417797889
"87","GI",3,32,9.375,9.375
"88","GL",0,5,0,0
"89","GM",0,3,0,0
"90","GN",0,3,0,0
"91","GP",0,2,0,0
"92","GR",502,4590,10.9368191721133,9.76621417797889
"93","GT",8,172,4.65116279069767,4.65116279069767
"94","GU",0,2,0,0
"95","HB",0,1,0,0
"96","HK",352,9901,3.55519644480356,3.55519644480356
"97","HN",1,87,1.14942528735632,1.14942528735632
"98","HR",118,1997,5.90886329494241,5.90886329494241
"99","HT",1,4,25,9.76621417797889
"100","HU",514,7605,6.75871137409599,6.75871137409599
"101","IB",0,1,0,0
"102","ID",47,575,8.17391304347826,8.17391304347826
"103","IE",429,8631,4.97045533541884,4.97045533541884
"104","IL",2015,37249,5.4095411957368,5.4095411957368
"105","IM",2,16,12.5,9.76621417797889
